,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
22-18,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-19,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-22,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-23,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-24,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-26,2,1,2,0,0,3,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,
22-27,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-28,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-29,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-1,0,2,1,1,0,0,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
23-2,0,3,0,1,0,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
23-3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-4,1,2,1,5,2,2,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,
23-5,1,0,1,1,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
23-6,1,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-7,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-8,1,1,2,2,0,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
23-9,2,2,3,6,2,12,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,
23-10,0,3,4,7,3,11,2,,,,,,1,,,1,,1,,,,,,,,,,,2,,,,,,,,
23-11,1,2,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-12,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-13,0,4,4,3,1,6,2,,1,,1,,,,1,1,,,,1,,,,,,1,,,,,,,,,,,
23-14,4,0,5,5,1,6,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,1,,,
23-15,1,1,0,4,0,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23-16,0,2,0,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23-17,0,2,1,1,0,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
23-18,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23-19,1,3,0,0,0,0,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
23-20,1,1,0,2,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-21,0,1,0,2,0,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23-22,0,0,1,1,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
23-23,0,2,0,1,0,0,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-01,0,3,1,1,1,1,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
24-02,0,1,1,0,0,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
24-03,0,0,1,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
24-04,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05,0,2,0,2,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06,0,2,0,0,0,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-07,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-08,0,1,0,0,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
24-09,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-11,0,1,0,0,0,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
24-12,0,1,0,0,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-13,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-14,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
24-15,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-18,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
24-19,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-1,0,5,2,7,0,3,3,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,
25-2,1,2,1,3,1,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
25-3,1,5,5,17,1,6,2,,,1,,1,1,,,1,,,,,,,,,,1,1,,,,1,1,,,,,
25-4,3,3,2,1,1,4,1,,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,
25-5,9,4,5,10,2,11,2,1,,,1,,,,,,2,,2,,,,,,,,,,,1,,,,,,,
25-6,4,6,4,7,1,5,2,,3,1,,,,,,2,,2,,,,,,,,,,,,,,,,,,,
25-7,1,10,5,12,1,7,2,,7,,1,,,,1,,,,,,1,,,,,2,,,,1,,,,,,,
25-8,2,4,3,9,0,3,2,1,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,
25-9,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-10,3,5,3,10,0,5,3,,1,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,
25-11,1,3,3,7,1,3,2,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,
25-12,2,5,3,15,0,6,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,
25-13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-15,2,2,0,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-16,0,2,0,0,0,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-17,0,1,1,0,0,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
25-18,0,1,0,0,0,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-19,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-20,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-21,2,2,0,1,0,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
25-22,0,2,2,9,4,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
25-23,0,0,1,5,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
25-24,1,4,1,4,0,2,1,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-1,,4,2,6,2,5,2,,1,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
26-2,4,9,4,8,3,4,5,,,,,4,,,1,,,,,,,,,,,,3,,,,,,,,,,
26-3,5,7,5,5,1,8,1,,2,2,,2,,,,2,,,1,,,,,,,,,,,,,,1,1,,,
26-4,6,2,3,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,
26-5,7,4,2,8,1,2,1,1,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,
26-6,9,5,1,5,3,11,3,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
26-7,2,5,3,3,1,5,,2,2,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,
26-8,8,7,8,6,8,12,5,1,1,,,,,,,2,,,1,2,1,1,,,,,,,1,,,,,,,,
26-9,4,4,5,5,1,6,1,1,,1,,,1,,,,,,1,,1,,,,,,1,1,,,,,,,1,,
26-10,7,3,,3,2,4,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
26-11,,1,1,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
26-12,1,6,2,3,6,7,2,,,1,,2,1,,,,,,,,,,,,,,2,,,,,,,,,,
26-13,3,4,2,2,1,4,1,,2,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
26-14,,2,1,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
26-15,2,2,1,7,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
26-16,1,2,,3,4,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
26-17,2,,2,5,,6,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
26-18,2,3,4,3,,5,1,,,2,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,
26-19,3,12,4,9,8,6,5,2,1,2,,1,1,,1,2,,,1,,,,,,,,,,,,,,,,,,
26-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-21,8,1,3,5,1,5,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,
26-22,1,1,1,3,1,3,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
26-23,3,5,6,2,5,1,3,,2,,,,,,,2,,1,,1,,,,,,,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-1,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-2,0,3,0,1,0,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
27-3,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-5,0,1,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27-6,0,1,0,0,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-7,0,4,1,2,1,2,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,
27-8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-9,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27-10,0,1,0,1,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-11,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-12,0,3,0,2,0,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
27-13,0,3,1,1,2,0,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,
27-14,0,1,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27-15,0,0,2,0,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
27-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-17,0,0,1,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
27-18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-20,0,1,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-21,1,0,1,0,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
27-22,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-23,0,3,1,1,3,8,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-4,1,1,0,0,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-7,0,1,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-8,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-9,0,0,1,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28-10,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-11,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-13,0,0,1,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
28-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-16,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-3,1,1,0,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
29-4,0,1,1,1,2,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
29-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-6,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-7,1,2,0,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-8,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-9,0,1,1,2,0,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
29-10,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-11,0,1,0,0,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-12,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-13,0,2,1,1,0,1,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
29-14,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-15,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
29-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-18,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-1,2,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
30-2,1,1,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
30-3,,,1,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30-4,,2,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-5,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-6,1,,2,5,,3,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
30-7,,3,5,3,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
30-8,1,1,5,1,,3,,,,,,1,,,,2,,1,,,,,,,,,,,2,,,,,,,,
30-9,1,1,,5,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-10,,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
30-11,,2,,2,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-12,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-13,1,1,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,
30-14,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-15,1,1,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30-16,,1,2,3,,5,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
30-17,2,2,2,2,1,7,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-2,1,,3,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
31-3,,2,1,1,,5,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
31-4,1,4,4,8,2,8,2,,,1,,1,,,,1,1,,,,,,,,,,,,,,,2,,,,,
31-5,2,6,2,5,1,5,1,,1,4,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
31-6,4,3,4,3,,1,,,,,,1,2,,1,,,,,,,1,,,,,,,,1,1,,,,,,
31-7,6,5,2,6,,4,1,1,,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
31-8,4,6,1,4,,1,1,2,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
31-9,,1,2,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,
31-10,,5,,,,3,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
31-11,1,5,,3,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-12,,1,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-13,,4,2,4,,3,,1,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
31-14,1,1,2,5,1,7,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
31-15,6,6,2,4,1,8,2,1,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,
31-16,3,12,2,3,2,8,5,2,1,4,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
31-17,2,3,3,,1,7,1,,,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,
31-18,2,12,3,2,,3,,,1,10,,,1,,,,,,,,1,,,,,1,,,,1,,,,,,,
31-19,5,7,6,,1,3,2,,,2,,,3,,,2,1,,,,,,,,,1,,,,1,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-2,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-4,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-6,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32-7,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-8,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-9,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-11,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-13,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-14,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-15,0,3,0,0,0,0,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-17,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-18,0,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-20,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
32-21,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
32-22,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-23,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-25,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-26,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-27,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-28,0,1,0,0,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32-29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-30,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-31,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-1,3,4,0,3,1,2,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
33-2,1,4,0,0,1,3,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
33-3,2,5,1,2,1,0,2,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
33-4,0,1,1,1,0,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
33-5,0,1,1,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
33-6,1,3,0,0,0,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
33-7,0,1,1,0,0,0,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
33-8,1,3,0,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-9,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
33-10,1,1,1,1,0,0,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
33-11,0,2,1,1,0,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
33-12,0,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
33-13,2,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-14,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
