Ward,Ward Display,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt & Neilson,Green & Greenlee,Green & Domb,Domb & Rizzo,Greenlee & Neilson,Neilson & Rizzo,Domb & Gym,Wyatt & Greenlee,Greenlee & Gym,Wyatt & Cohen,Green & Rizzo,Steinke & Rizzo,Steinke & Goode,Domb & Steinke,Green & Wyatt,Cohen & Gym,Reynolds-Brown & Neilson,Cohen & Thomas,Wyatt & Rizzo,Domb & Neilson,Wyatt & Gym,Domb & Wyatt,Gym & Thomas,Reynolds-Brown & Steinke,Wyatt & Steinke,Green & Gym,Steinke & Gym,Ayers & Gym,Domb & Reynolds-Brown,Green & Aument-Loughrey,Reynolds-Brown & Cohen,Gym & Neilson,Green & Neilson,Neilson & Goode,Domb & Aument & Loughrey,Steinke & Neilson,Green & Ayers,Aument-Loughrey & Gym,Green & Goode,Steinke & Cohen,Reynolds-Brown & Goode,Cohen & Neilson,Rizzo & Goode,Gym & Goode,Thomas & Goode,Greenlee & Rizzo,Domb & Greenlee,Ayers & Reynolds-Brown,Reynolds-Brown & Gym,Ayers & Aument-Loughrey,Reynolds-Brown & Thomas,Wyatt & Reynolds-Brown,Green & Cohen,Aument-Loughrey & Greenlee,Cohen & Cain,Gym & Rizzo,Ayers & Wyatt,Alexander & Cain,Ayers & Domb,Reynolds-Brown & Rizzo,Cain & Aument-Loughrey,Reynolds-Brown & Greenlee,Greenlee & Goode,Cain & Reynolds-Brown,Ayers & Cain,Ayers & Steinke,Green & Thomas,Aument-Loughrey & Rizzo,Cohen & Goode,Green & Cain,Cohen & Rizzo,Domb & Cohen,Neilson & Thomas,Domb & Thomas,Wyatt & Thomas,Cain & Gym,Cain & Rizzo,Ayers & Cohen,Alexander & Thomas,Rizzo & Thomas,Ayers & Alexander,Cohen & Greenlee,Steinke & Greenlee,Cain & Thomas,Alexander & Rizzo,Reynolds-Brown & Aument-Loughrey,Cain & Goode,Aument-Loughrey & Neilson,Alexander & Gym,Steinke & Aument-Loughrey,Cain & Steinke,Alexander & Wyatt,Aument-Loughrey & Thomas,Greenlee & Thomas,Ayers & Thomas,Alexander & Neilson,Alexander & Cohen,Ayers & Neilson,Aument-Loughrey & Cohen,Domb & Cain,Wyatt & Goode,Cain & Greenlee,Wyatt & Cain,Alexander & Goode,Alexander & Reynolds-Brown,Ayers & Goode,Reynolds-Brown & Green,Gym & Write-in,Ayers & Greenlee,Cain & Cohen,Alexander & Steinke,Wyatt & Aument-Loughrey,Cain & Neilson,Rizzo & Write-in,Alexander & Greenlee,Alexander & Aument-Loughrey,Thomas/Write & In,Green & Reynolds-Brown,Green & Alexander,Green & Steinke,Ayers & Rizzo,Alexander & Domb,Domb & Goode,Steinke & Thomas,Aument-Loughrey & Goode,Alexander & Write-In
30,30,Domb,130,Steinke & Gym,38,402,560,296,334,316,1619,5,17,18,94,130,81,53,31,18,2,20,17,24,6,4,40,0,0,1,12,11,3,0,22,0,5,0,2,2,1,22,2,22,0,2,2,1,2,5,4,10,6,3,38,1,4,0,2,0,0,1,0,0,5,0,0,11,9,0,2,8,7,1,4,1,4,0,4,0,3,0,0,0,1,0,3,2,2,1,1,0,0,0,3,0,2,1,1,2,0,4,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,1,2,3,0,0
31,31,Gym,57,Greenlee & Neilson,119,328,352,252,194,139,633,22,33,12,57,52,39,15,15,8,4,16,8,7,23,8,33,0,0,3,1,2,119,3,5,0,2,0,3,0,0,4,2,10,0,0,0,1,3,2,1,3,2,0,10,0,1,1,4,2,2,1,0,1,10,2,0,1,0,3,1,1,0,7,4,0,3,0,0,0,1,1,0,0,0,0,0,1,1,2,0,1,1,0,1,0,1,0,2,4,0,1,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0
32,32,Green,292,Green & Ayers,26,775,824,249,279,186,913,6,7,18,24,94,292,6,67,40,6,15,44,62,15,12,116,0,0,4,8,0,0,0,2,0,2,0,0,0,1,1,2,0,3,4,0,0,0,2,4,5,0,2,3,0,15,1,1,0,0,0,1,0,26,0,2,0,15,0,1,0,11,0,1,5,1,0,9,1,1,0,0,0,0,0,1,0,0,24,1,1,2,1,11,0,0,5,0,2,1,3,0,0,1,1,0,2,4,4,1,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,9,13,5,1,2,6,0,0,0
33,33,Green,115,Green & Ayers,7,650,526,91,127,90,379,30,23,13,12,36,115,8,23,12,113,7,41,15,10,11,57,0,1,1,1,4,2,1,1,0,0,0,1,1,0,0,2,0,0,1,0,0,1,1,1,2,0,0,0,1,1,4,0,0,1,1,0,0,7,1,0,0,1,0,1,1,3,2,0,1,0,3,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0,1,2,0,0,2,0,0,0,2,0,0,1,0,0,0,1,1,3,0,3,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,1,0,0,0
34,34,Green,408,Reynolds-Brown & Goode,79,1633,1773,593,652,477,3014,24,41,51,51,191,408,31,258,144,7,21,123,145,27,33,218,0,1,12,11,3,2,0,10,1,6,0,0,2,0,9,5,11,2,1,1,1,2,3,10,18,1,3,3,4,21,0,9,0,0,2,1,0,42,0,10,2,79,0,8,5,31,1,2,4,9,0,32,5,3,1,0,1,3,3,10,4,1,8,3,1,1,2,12,1,2,4,2,10,1,18,1,1,1,1,3,1,7,1,0,2,0,0,0,0,2,0,0,3,0,3,4,0,1,0,0,3,1,0,0,3,7,3,0,0,1,2,2,1,1,0,0,0,0,15,24,3,0,5,12,3,0,0
35,35,Green,212,Green & Domb,15,807,939,256,230,238,1076,100,38,28,42,122,212,14,44,31,6,37,51,87,19,21,87,0,2,7,15,11,7,9,4,0,4,1,1,1,0,1,4,0,1,1,3,4,0,4,5,9,1,2,1,0,1,1,4,2,2,1,1,3,14,0,3,0,9,4,0,4,3,3,3,4,1,2,4,0,1,0,0,4,4,0,0,1,1,3,1,0,0,0,9,2,2,1,3,2,4,3,0,1,1,2,1,3,3,4,0,0,1,0,0,0,0,0,1,1,0,3,3,1,0,0,0,4,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,5,7,0,1,0,1,0,0,0
36,36,Green,412,Thomas & Goode,32,1679,1504,421,370,348,1871,65,16,39,57,149,412,22,136,98,3,18,85,180,13,13,197,1,0,2,8,10,2,5,11,0,2,3,3,2,1,2,5,16,0,7,2,6,5,2,5,4,0,1,2,1,11,0,7,1,1,3,1,0,26,0,4,2,28,1,3,1,32,4,4,5,3,1,21,1,3,1,0,2,2,0,6,0,0,5,1,0,0,2,16,0,8,0,2,2,2,7,3,0,0,3,2,1,4,0,1,0,0,0,1,0,2,0,0,1,1,2,10,1,0,2,2,1,0,0,2,2,3,5,0,0,1,1,0,0,0,0,0,0,0,15,18,2,2,3,3,0,1,0
37,37,Green,175,Green & Alexander,18,638,497,152,156,108,591,13,8,14,11,56,175,7,31,15,6,5,30,60,8,4,54,0,1,1,4,0,2,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,5,0,0,0,2,6,0,2,0,1,0,0,1,16,0,1,0,7,0,3,1,9,1,0,1,0,1,4,0,2,1,0,0,1,0,2,0,0,2,1,0,1,2,4,0,0,3,0,1,2,2,2,0,0,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,2,1,1,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,18,1,0,1,1,1,0,0
38,38,Green,206,Reynolds-Brown & Goode,27,638,766,301,333,215,1198,4,25,27,44,92,206,32,48,27,2,11,39,50,58,15,86,0,1,18,8,5,4,0,8,0,5,0,0,2,1,14,4,11,1,0,0,1,0,5,3,3,2,2,8,1,4,0,2,1,0,0,0,1,26,0,2,2,27,0,1,1,5,2,6,1,3,0,4,1,2,0,0,0,0,0,2,1,0,3,5,0,3,3,5,2,0,2,0,1,0,3,1,1,0,1,0,1,4,1,3,1,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,3,1,0,2,1,2,3,0,0,2,1,1,1,0,0,0,1,0,9,15,2,5,0,1,1,0,0
39,39,Neilson,662,Domb & Rizzo,85,1967,2098,749,798,711,1651,662,293,72,180,358,193,46,33,15,31,24,39,20,34,25,73,0,5,3,15,85,82,45,22,1,10,1,6,20,0,25,3,21,6,0,9,34,12,17,3,5,13,6,12,4,10,0,1,21,31,2,3,11,10,3,5,4,3,2,9,4,1,15,16,1,3,1,1,0,3,1,0,18,2,0,3,5,1,4,0,0,3,1,3,5,0,0,8,4,1,4,0,0,1,5,0,2,1,0,2,1,2,0,0,2,2,1,0,1,0,1,1,2,0,0,3,3,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,8,6,2,5,2,2,0,0,0
40,40,Green,521,Green & Ayers,53,1819,2164,569,520,408,1941,303,39,30,56,171,521,10,156,174,14,17,324,90,20,31,208,0,2,1,22,12,9,5,1,0,0,0,6,1,0,0,7,3,16,4,0,9,0,7,4,7,1,5,0,1,14,1,2,1,24,14,1,0,53,1,8,0,33,5,7,4,16,0,3,5,6,0,15,0,1,1,0,3,5,3,1,9,0,4,6,1,3,0,10,0,0,2,1,2,7,10,3,0,0,0,4,4,4,0,0,0,0,0,0,0,3,1,1,4,0,4,4,6,2,3,0,3,1,2,0,3,9,7,0,0,1,0,0,2,3,0,0,0,0,27,46,2,2,4,7,2,0,0
41,41,Domb,99,Domb & Rizzo,18,467,535,160,196,161,742,63,67,19,22,99,94,10,16,12,6,13,22,28,12,12,40,0,2,5,2,18,4,7,6,0,2,1,2,1,1,6,1,1,0,0,2,7,0,4,2,7,2,0,2,0,3,0,0,2,2,3,1,2,6,0,1,0,0,0,4,1,1,6,0,1,0,1,0,0,0,0,0,4,1,0,1,0,0,0,1,0,1,0,0,1,1,2,1,4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,1,2,0,3,2,0,0
42,42,Green,235,Green & Ayers,23,882,789,210,172,135,910,49,15,22,31,65,235,16,52,20,4,9,90,84,11,12,74,0,0,4,5,2,2,6,4,0,1,0,1,1,0,0,3,1,2,3,1,1,0,4,1,2,0,3,1,2,3,1,0,0,4,0,0,1,23,0,3,1,8,0,3,0,9,0,2,3,1,0,9,0,3,0,0,1,0,1,2,1,0,1,2,2,2,0,6,0,0,3,0,1,3,4,0,0,0,0,1,2,4,0,0,0,0,0,1,1,0,0,0,1,0,1,2,1,2,0,0,5,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,11,17,0,1,1,0,0,0,0
43,43,Green,178,Thomas & Goode,14,1035,635,170,161,91,605,45,21,20,14,76,178,6,45,23,1,10,43,51,11,18,71,2,0,5,2,2,3,1,3,0,1,0,0,0,1,1,2,0,0,0,0,1,0,3,0,7,0,0,0,2,7,1,1,0,1,4,0,0,11,0,2,0,5,0,4,0,14,1,0,4,3,0,4,0,1,0,0,0,0,1,1,2,0,2,2,1,2,0,2,0,0,3,0,0,3,3,1,0,0,0,5,0,6,0,0,0,0,0,3,0,1,0,1,0,0,2,1,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,13,1,0,1,2,0,0,0
44,44,Green,188,Reynolds-Brown & Goode,25,554,735,205,224,148,751,20,16,20,9,77,188,3,176,29,1,8,49,45,1,12,81,0,0,2,8,5,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,7,0,2,0,1,16,0,3,0,0,0,0,0,16,0,5,1,25,0,1,1,9,1,1,6,4,0,9,0,1,0,0,0,1,1,2,1,0,1,1,0,1,0,6,0,3,0,0,0,2,4,1,0,0,1,1,0,6,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,13,15,0,0,1,3,1,0,0
45,45,Domb,108,Domb & Rizzo,28,449,457,199,187,159,656,23,76,17,43,108,59,21,12,9,6,9,13,9,5,14,33,0,0,1,3,28,8,4,11,0,4,0,1,1,0,8,1,11,0,0,6,9,0,3,1,3,5,1,10,1,2,0,0,1,0,1,0,0,7,0,1,1,2,0,5,1,0,8,2,1,0,1,1,1,1,1,0,3,0,0,2,1,0,0,0,0,1,1,0,2,1,0,5,1,0,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,2,2,0,1,0,0
46,46,Gym,231,Cohen & Gym,110,576,910,460,369,269,1740,5,12,17,231,69,157,48,77,45,5,17,51,56,6,14,100,0,1,0,8,1,0,0,4,1,4,0,2,2,2,9,0,110,2,0,0,0,4,5,21,8,3,9,82,6,9,0,4,1,0,0,1,1,12,1,0,7,23,0,1,10,7,1,0,3,15,0,7,1,1,0,0,5,1,0,2,3,0,0,0,0,0,0,6,0,1,1,0,1,1,4,2,0,0,3,0,0,0,1,1,0,0,0,0,0,4,0,1,1,0,0,2,0,0,1,0,2,3,0,0,1,0,2,0,0,1,1,0,0,0,0,0,2,0,2,8,0,1,1,2,4,0,0
47,47,Green,77,Tie: Green & Ayers/Green & Alexander,6,294,277,79,78,50,330,4,2,8,5,41,77,3,16,18,0,4,19,18,3,9,50,0,0,2,1,1,3,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,2,0,2,0,0,3,2,4,0,2,0,0,0,0,0,6,0,3,0,3,0,1,0,1,1,0,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,1,2,0,0,0
48,48,Green,223,Green & Ayers,18,931,841,222,198,146,729,30,42,33,31,120,223,7,60,34,2,13,44,89,7,16,90,0,0,4,12,16,8,2,3,0,1,1,1,1,0,0,2,4,1,1,1,7,0,3,5,5,4,2,2,0,4,1,1,0,0,0,0,0,18,0,5,1,7,0,0,10,11,1,1,0,1,0,10,1,2,0,0,0,1,1,4,0,0,0,1,0,2,0,10,1,0,0,1,1,2,3,1,1,0,2,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0,0,2,1,0,0,0
49,49,Green,443,Green & Ayers,45,900,1178,312,317,294,1509,12,11,44,35,97,443,3,94,36,2,20,77,138,22,19,125,0,0,3,11,0,1,1,5,1,0,0,2,0,0,1,4,1,0,1,0,0,0,3,4,7,1,0,0,0,15,1,1,0,1,0,0,0,45,1,10,0,15,0,5,1,17,2,0,1,7,0,25,0,2,0,0,0,2,1,1,1,1,3,3,1,2,0,12,0,2,1,1,3,1,6,1,0,0,0,3,2,5,3,1,3,0,0,2,0,1,0,0,1,1,1,6,0,0,0,0,5,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5,24,0,1,1,2,1,0,0
50,50,Green,444,Green & Reynolds-Brown,45,1062,1399,536,646,853,3173,6,13,35,47,130,444,4,183,95,6,22,60,174,22,29,129,0,0,30,17,1,0,0,2,1,2,2,0,0,0,3,4,2,1,2,0,0,1,8,8,9,0,10,0,2,19,0,4,1,8,2,0,0,34,0,14,0,29,1,7,4,26,0,2,8,7,0,36,3,2,0,0,1,4,1,3,3,0,10,3,0,0,0,39,0,3,4,4,2,14,15,1,0,0,1,1,3,3,0,0,1,0,0,0,1,0,0,0,0,1,8,7,0,0,0,1,3,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,45,18,2,1,2,10,1,0,0
51,51,Green,253,Reynolds-Brown & Goode,32,1100,936,305,301,263,1287,10,12,23,54,78,253,8,103,100,8,17,78,54,8,13,117,0,1,0,8,0,1,0,7,0,7,0,3,0,0,0,2,18,1,0,1,0,0,2,1,5,1,0,6,0,4,3,3,1,0,0,1,1,22,1,9,0,32,0,6,4,12,0,1,6,8,1,3,0,1,0,0,2,1,0,0,2,0,3,4,1,0,1,5,0,3,5,0,2,2,5,1,0,0,1,2,3,6,0,0,0,0,1,1,1,2,0,0,2,2,1,1,0,0,1,2,2,0,0,1,3,3,1,0,0,1,1,0,0,0,0,0,0,0,12,24,1,1,2,5,1,1,0
52,52,Green,370,Reynolds-Brown & Goode,75,921,1225,468,499,472,2353,5,18,31,52,144,370,13,175,113,2,12,65,75,9,17,124,0,0,1,19,3,0,0,10,0,1,1,0,1,4,6,6,3,0,1,1,2,2,6,1,10,0,4,1,2,19,0,1,0,0,1,1,0,32,1,11,2,75,0,5,10,25,0,5,8,11,0,23,0,2,0,0,0,1,0,5,4,1,5,4,3,2,0,9,0,2,0,2,6,0,10,2,1,0,0,2,0,5,0,1,0,2,0,1,0,1,0,1,1,0,1,2,1,0,1,3,3,1,0,2,5,1,5,0,0,1,0,0,0,0,0,0,1,0,31,10,0,1,2,7,2,0,0
53,53,Green,135,Green & Domb,20,372,549,195,191,144,913,35,29,11,24,82,135,7,16,11,3,71,31,49,8,6,31,0,0,3,20,9,2,5,5,0,1,1,0,2,0,4,2,2,1,2,1,3,1,3,3,4,1,1,1,0,3,0,3,0,3,1,0,1,7,0,3,2,2,3,2,0,2,4,2,1,0,0,1,0,10,2,0,1,2,0,1,0,0,1,0,0,0,0,7,0,2,0,7,15,2,3,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,0,0
54,54,Green,91,Domb & Cohen,8,302,478,129,124,88,501,52,30,12,27,78,91,8,15,12,1,37,16,34,11,11,43,0,0,0,4,5,1,3,0,0,0,0,0,2,0,4,1,1,1,2,0,5,1,2,1,3,2,0,1,0,2,0,2,4,2,1,1,0,6,0,1,1,1,7,2,1,3,0,3,0,2,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,3,0,2,8,3,2,1,0,0,1,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,2,2,0,0,1,0
55,55,Domb,114,Greenlee & Neilson,104,476,580,365,324,197,918,49,93,21,48,114,81,24,8,8,5,30,16,21,16,8,37,1,0,0,10,19,104,16,4,1,2,1,1,6,0,10,1,1,2,2,2,17,1,6,3,6,3,0,11,0,3,1,0,1,2,0,3,2,4,0,2,5,1,3,5,0,3,14,7,1,1,0,1,0,0,0,0,4,0,0,1,1,0,0,1,0,1,0,3,2,2,2,9,8,2,1,0,0,4,1,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,2,1,3,7,0,0
56,56,Domb,242,Domb & Neilson,148,902,921,514,345,309,1363,159,97,25,63,242,106,19,20,14,6,42,28,23,13,14,50,0,2,0,4,44,24,20,17,1,2,0,4,4,0,20,3,1,3,2,0,148,2,8,3,2,5,0,4,1,3,1,0,12,3,2,2,4,7,0,3,3,5,5,10,1,2,8,8,1,5,1,3,0,2,0,0,4,1,1,6,3,0,0,0,0,0,0,1,5,1,0,12,21,5,2,1,0,0,2,0,1,4,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,3,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,0,1,2,0,1,0
57,57,Neilson,467,Neilson & Rizzo,74,490,923,365,320,233,1088,467,67,18,31,113,74,11,23,5,4,13,25,24,10,11,27,0,3,2,3,20,38,74,2,0,4,0,6,4,0,8,2,1,1,0,1,40,0,8,3,1,4,1,2,0,2,0,0,24,5,1,1,10,10,1,1,1,1,9,1,0,2,5,2,1,1,0,0,0,0,0,0,2,1,0,5,0,0,1,0,0,2,0,2,1,1,0,5,8,1,2,0,2,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,1,1,1,0,0
58,58,Domb,238,Neilson & Thomas,87,987,1000,566,519,396,1844,166,124,24,49,238,114,24,26,16,7,55,31,33,26,18,49,0,4,2,11,54,32,35,13,0,3,1,7,7,0,22,2,10,1,1,4,37,3,10,3,2,7,1,7,1,2,0,1,8,1,1,0,7,5,0,2,1,4,4,2,0,1,16,17,2,1,1,2,1,2,0,0,6,2,1,2,1,1,1,0,2,1,0,3,2,0,4,14,14,87,0,1,0,1,0,0,2,1,4,3,1,1,0,0,3,0,0,0,2,0,2,1,1,1,2,3,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,9,3,3,3,2,3,0,0
59,59,Green,285,Cohen & Gym,31,621,868,326,335,339,1719,8,8,21,85,86,285,16,99,42,4,18,42,59,16,17,62,0,0,6,5,2,0,0,9,0,6,0,3,1,0,4,0,31,2,3,0,2,0,3,4,7,2,6,5,3,8,0,9,0,3,0,0,0,22,1,5,0,27,0,2,4,10,2,2,2,2,0,15,2,4,0,0,1,0,0,1,1,0,6,1,1,2,0,18,0,4,3,4,1,1,5,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,1,0,0,0,1,0,1,1,2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,15,10,0,0,2,2,1,0,0
60,60,Green,267,Reynolds-Brown & Goode,29,822,895,273,296,216,1227,1,7,22,82,86,267,8,125,42,4,5,71,41,9,11,114,0,0,0,4,1,1,0,3,1,0,0,0,0,0,3,1,11,0,4,0,1,1,5,5,2,1,2,5,3,21,0,7,0,1,0,0,0,28,0,6,2,29,0,3,1,9,0,2,5,10,1,4,0,1,0,0,0,4,0,2,3,1,2,1,1,2,0,9,0,3,0,0,0,1,2,2,0,0,0,0,0,5,1,0,0,0,0,1,0,1,0,0,2,0,1,2,0,0,0,0,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,19,1,0,3,5,2,0,0
61,61,Green,269,Green & Thomas,47,726,1069,379,351,313,1536,23,25,31,99,123,269,3,79,45,5,19,47,131,18,29,123,0,0,9,5,2,1,2,4,1,5,0,1,0,0,1,5,3,1,4,2,2,1,5,21,3,2,5,5,7,5,3,7,4,0,1,0,1,16,0,8,0,12,0,0,2,21,0,2,6,3,0,25,0,5,3,0,2,1,1,1,2,0,4,2,0,0,1,47,1,5,2,2,2,4,9,1,0,1,1,3,3,5,3,1,2,1,0,0,0,1,0,0,0,0,5,3,0,0,0,0,2,2,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,10,13,0,0,3,2,0,0,0
62,62,Green,161,Aument-Loughrey & Greenlee,188,596,702,351,270,118,698,46,36,22,26,89,161,18,32,21,24,8,34,52,56,17,60,0,0,7,3,0,7,6,4,1,2,0,2,2,0,5,1,1,0,1,1,4,0,4,2,2,4,3,1,0,2,1,0,3,1,0,1,1,7,0,0,0,2,0,1,1,4,5,7,1,0,2,6,0,1,188,0,2,1,0,0,2,0,4,0,0,0,1,1,1,1,0,3,0,0,2,0,0,1,0,1,0,2,2,1,0,0,0,0,6,0,0,0,3,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,1,0,0
63,63,Neilson,193,Domb & Rizzo,30,585,734,342,291,298,1057,193,93,24,54,134,68,23,12,2,2,41,11,11,22,14,30,0,5,4,2,30,14,23,9,0,3,1,3,6,0,9,2,7,2,2,2,16,1,6,0,2,5,0,4,3,4,1,1,17,8,1,2,2,5,0,0,2,7,6,4,0,0,12,9,0,0,1,2,0,4,2,0,11,0,0,3,2,1,0,0,0,0,0,0,2,2,0,8,17,1,2,0,1,1,3,0,2,2,6,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,3,5,0,0,0
64,64,Neilson,187,Neilson & Rizzo,24,283,497,166,182,124,586,187,69,13,23,74,48,7,7,2,1,11,9,4,13,7,22,0,3,2,4,16,8,24,2,1,4,0,4,7,0,2,0,1,2,0,0,10,0,1,0,0,5,1,1,0,1,0,0,5,3,1,0,4,4,0,0,0,1,0,3,0,0,4,3,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,2,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,3,1,1,0,0,0
65,65,Neilson,392,Neilson & Rizzo,33,474,854,278,258,190,901,392,59,14,28,115,86,18,15,3,2,26,16,14,6,11,49,0,2,0,8,20,10,33,2,0,4,0,7,1,1,3,2,5,1,1,2,29,1,10,0,2,1,1,1,2,1,0,1,10,9,1,1,7,5,1,2,2,1,12,3,0,0,2,2,0,0,0,3,0,2,0,0,2,1,0,2,0,0,1,1,0,2,0,0,3,0,1,4,12,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,4,4,3,2,1,1,0,0,0
66,66,Neilson,654,Neilson & Rizzo,100,774,1281,497,410,311,1532,654,107,27,36,187,100,12,21,5,6,15,20,8,13,21,49,0,6,1,5,23,52,100,5,1,4,0,3,5,0,4,3,1,1,0,2,88,0,7,1,4,6,2,2,0,1,1,1,23,13,4,2,10,3,1,1,2,2,3,4,1,1,2,6,0,0,0,1,0,1,1,0,4,1,1,1,1,1,2,0,0,1,1,0,2,1,2,2,6,5,1,0,0,1,1,0,1,4,2,1,0,0,0,0,8,0,0,0,2,0,1,0,4,0,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,7,1,2,3,3,3,0,0
